path,group,extension,line_count,review_flags
3D_STUDIO_UIUX_FIX_SUMMARY.md,root,.md,260,hardcoded-local-origin|console-call
ARCSPRO_3D_STUDIO_UIUX_AUDIT_REPORT.md,root,.md,402,console-call
ARCSPRO_3D_STUDIO_UIUX_DEEP_AUDIT_REPORT.md,root,.md,418,hardcoded-local-origin|browser-storage|console-call
ARCSPRO_CURRENT_VERSION.md,root,.md,152,hardcoded-local-origin
docs/GIS_3D_EDITOR_UPGRADE_PLAN.md,docs,.md,143,
docs/GIS_3D_SITE_MODE_PLAN.md,docs,.md,103,
docs/INVENTORY_WMS_PLAN.md,docs,.md,768,large>=500|hardcoded-local-origin|console-call
docs/MODULE_PERMISSION_SETUP_GUIDE.md,docs,.md,250,
docs/plans/2026-03-17-credential-direct-refactor-implementation-plan.md,docs,.md,379,
docs/plans/2026-03-17-credential-layout-design.md,docs,.md,88,
docs/plans/2026-03-17-credential-layout-engine-design.md,docs,.md,50,
docs/plans/2026-03-17-credential-layout-engine-implementation-plan.md,docs,.md,92,
docs/plans/2026-03-17-credential-layout-plan.md,docs,.md,133,
docs/plans/2026-03-17-credential-race-selection-design.md,docs,.md,30,
docs/plans/2026-03-17-credential-race-selection-plan.md,docs,.md,24,
docs/plans/2026-03-21-wms-digital-twin-design.md,docs,.md,857,large>=500
docs/plans/2026-03-21-wms-digital-twin-phase1-implementation-plan.md,docs,.md,681,large>=500
docs/plans/2026-03-21-wms-ui-redesign.md,docs,.md,56,
docs/plans/2026-03-23-admin-uiux-redesign-plan.md,docs,.md,267,
docs/plans/2026-03-23-sidebar-uiux-analysis.md,docs,.md,399,browser-storage
docs/plans/2026-03-23-wms-sims-style-warehouse-designer-plan.md,docs,.md,648,large>=500
docs/plans/2026-04-01-gis-3d-event-space-implementation-plan.md,docs,.md,147,
docs/plans/2026-05-23-door-h5-product-grade-mobile.md,docs,.md,222,hardcoded-local-origin
docs/plans/2026-06-10-door-approval-foundation-design.md,docs,.md,388,ts-any
docs/plans/2026-06-10-door-approval-foundation-implementation-plan.md,docs,.md,488,hardcoded-local-origin
docs/plans/2026-06-10-door-design-collaboration-export-rounds-design.md,docs,.md,40,
docs/plans/2026-06-10-door-design-collaboration-export-rounds-implementation-plan.md,docs,.md,81,hardcoded-local-origin
docs/plans/2026-06-10-door-design-collaboration-import-design.md,docs,.md,212,
docs/plans/2026-06-10-door-design-collaboration-import-implementation-plan.md,docs,.md,109,hardcoded-local-origin
docs/plans/2026-06-10-door-design-requests-design.md,docs,.md,207,
docs/plans/2026-06-10-door-design-requests-implementation-plan.md,docs,.md,170,hardcoded-local-origin
docs/plans/2026-06-11-arcspro-openfga-authz-design.md,docs,.md,443,hardcoded-local-origin
docs/plans/2026-06-11-arcspro-openfga-authz-implementation-plan.md,docs,.md,358,hardcoded-local-origin
docs/plans/2026-06-11-arcspro-workspace-surface-refactor-design.md,docs,.md,493,
docs/plans/2026-06-11-arcspro-workspace-surface-refactor-implementation-plan.md,docs,.md,567,large>=500|hardcoded-local-origin|browser-storage
docs/plans/credential-direct-refactor-regression-checklist.md,docs,.md,11,
docs/plans/wms-digital-twin-phase1-regression-checklist.md,docs,.md,16,
docs/webgpu-audit-report.md,docs,.md,202,
docs/webgpu-migration-checklist.md,docs,.md,156,
index.html,root,.html,26,
LOCAL_TEST_ENV.md,root,.md,63,hardcoded-local-origin
package.json,root,.json,83,axios-outside-request
postcss.config.js,root,.js,5,
public/arcspro-app-sw.js,public,.js,116,direct-fetch|hardcoded-local-origin
public/sw-tiles.js,public,.js,466,direct-fetch|console-call
README.md,root,.md,737,large>=500|hardcoded-local-origin
result.json,root,.json,16,
scripts/check-encoding.mjs,tooling,.mjs,81,console-call
server/build-and-save-scene.js,backend:config-or-doc,.js,240,hardcoded-local-origin|console-call
server/check-export.js,backend:config-or-doc,.js,62,hardcoded-local-origin|console-call
server/check-final.js,backend:config-or-doc,.js,49,hardcoded-local-origin|console-call
server/check-full-snapshot.js,backend:config-or-doc,.js,24,hardcoded-local-origin|console-call
server/check-geometry.js,backend:config-or-doc,.js,58,hardcoded-local-origin|console-call
server/check-new-export.js,backend:config-or-doc,.js,75,hardcoded-local-origin|console-call
